node1,node2
MP_Shivpuri,UP_Jhansi
MP_Shivpuri,UP_Lalitpur
MP_Shivpuri,MP_Datia
MP_Shivpuri,MP_Gwalior
MP_Guna,MP_Vidisha
MP_Guna,MP_Rajgarh
MP_Guna,MP_Ashoknagar
MP_Guna,MP_Bhopal
MP_Mandsaur,RJ_Chittorgarh
MP_Mandsaur,MP_Ratlam
MP_Mandsaur,MP_Neemuch
MP_Mandsaur,RJ_Pratapgarh
MP_Rajgarh,MP_Shajapur
MP_Rajgarh,MP_Agar Malwa
MP_Rajgarh,MP_Sehore
MP_Rajgarh,MP_Bhopal
MP_Ratlam,MP_Agar Malwa
MP_Ratlam,MP_Ujjain
MP_Ratlam,MP_Jhabua
MP_Ratlam,RJ_Banswara
MP_Ratlam,MP_Dhar
MP_Ratlam,RJ_Pratapgarh
MP_Agar Malwa,MP_Shajapur
MP_Agar Malwa,MP_Ujjain
RJ_Chittorgarh,MP_Neemuch
RJ_Chittorgarh,RJ_Pratapgarh
MP_Neemuch,RJ_Pratapgarh
RJ_Pratapgarh,RJ_Dungarpur
