stateid,weekid,dose1,dose2
TN,3,49447,0
TN,4,68822,667
TN,5,60715,13288
TN,6,28722,21371
TN,7,269803,29846
TN,8,530641,53967
TN,9,664353,63496
TN,10,642748,46826
TN,11,434483,51209
TN,12,447496,110461
TN,13,789479,214270
TN,14,313018,345853
TN,15,295046,407923
TN,16,223744,291633
TN,17,267383,260422
TN,18,251669,50630
TN,19,1367236,51170
TN,20,1142962,81141
TN,21,578644,50912
TN,22,1735059,115425
TN,23,2181657,209470
TN,24,1502143,243981
TN,25,542310,226213
TN,26,1460195,517402
TN,27,1319775,325693
TN,28,1591118,417321
TN,29,1672023,417941
TN,30,1240484,280844
TR,1,3349,0
TR,2,17993,0
TR,3,10893,0
TR,4,29275,334
TR,5,19365,11080
TR,6,7214,9588
TR,7,18629,7932
TR,8,25927,18620
TR,9,116361,19131
TR,10,303750,8267
TR,11,83350,5479
TR,12,84824,11190
TR,13,45278,22355
TR,14,54367,77270
TR,15,86924,162825
TR,16,45448,111604
TR,17,32583,40986
TR,18,59022,334
TR,19,36084,580
TR,20,46963,469
TR,21,19783,4493
TR,22,236415,24532
TR,23,510210,36598
TR,24,104894,40919
TR,25,59108,32856
TR,26,82326,44761
TR,27,69473,49589
TR,28,150211,43390
TR,29,45271,14927
TR,30,28407,26677
UP,1,30644,0
UP,2,402396,0
UP,3,205067,0
UP,4,226272,2
UP,5,272211,100269
UP,6,144485,287282
UP,7,204710,141651
UP,8,544744,91884
UP,9,1272671,274272
UP,10,1081781,125298
UP,11,1126447,47118
UP,12,1744330,170312
UP,13,1846543,371808
UP,14,677399,387326
UP,15,551585,372185
UP,16,583469,410587
UP,17,808617,480241
UP,18,1182001,84511
UP,19,1639131,105051
UP,20,2080422,177414
UP,21,2559576,167611
UP,22,2403130,228355
UP,23,4542151,298371
UP,24,1646890,498300
UP,25,3591625,977354
UP,26,2461828,724122
UP,27,3349507,687771
UP,28,3306246,581056
UP,29,4712487,601298
UP,30,3049900,788694
UT,1,3238,0
UT,2,20684,0
UT,3,46416,0
UT,4,39628,403
UT,5,28286,7886
UT,6,9846,12215
UT,7,42864,35259
UT,8,66264,29830
UT,9,119424,27835
UT,10,122378,10289
UT,11,225500,16129
UT,12,380519,39160
UT,13,219846,61996
UT,14,194108,91544
UT,15,155973,91535
UT,16,93767,156907
UT,17,196189,99421
UT,18,126924,618
UT,19,116420,2054
UT,20,130434,3882
UT,21,252104,7837
